Place;Date;Page;Sector;Country Code;Year;Latitude;Longitude;Country;Region;Region District
Bohdanovce nad Trnavou;1997-06-03;37;C;SK;1997;48,4300547;17,5432001;Slovensko;Trnavský kraj;okres Trnava
Bohdíkov;;12;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohostice;;18;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohosudov;;1;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohunice (Levice);1994-01-01;49;A;SK;1994;48,3334848;18,7514797;Slovensko;Nitriansky kraj;okres Levice
Bohunice (Považská Bystrica);1998-09-12;38;A;SK;1998;49,01942;18,19574;Slovakia;Trenčiansky kraj;okres Ilava
Bohuňov;;21;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohuňovice;;22;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohúňovo;2002-09-28;41;D;SK;2002;48,5139369;20,3844822;Slovensko;Košický kraj;okres Rožňava
Bohuslavice (Hodonín);2020-06-28;36;B;CZ;2020;#N/A;#N/A;#N/A;#N/A;#N/A
Bohuslavice (Náchod);;11;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohuslavice (Opava);;14;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohuslavice (Prostějov);;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohuslavice nad Vláří;;37;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohuslavice u Gottwaldova;2017-09-01;23;C;CZ;2017;#N/A;#N/A;#N/A;#N/A;#N/A
Bohušov;;13;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohušovice nad Ohří;;8;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohutice;;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohutín;;17;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bochoř;;23;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bochov;;6;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bojanov;;20;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bojkovice;2018-07-01;37;B;CZ;2018;#N/A;#N/A;#N/A;#N/A;#N/A
Bojná;2000-07-19;38;C;SK;2000;48,5756486;18,0568631;Slovensko;Nitriansky kraj;okres Topoľčany
Bojnice;1994-01-01;38;B;SK;1994;48,7799591;18,5821986;Slovensko;Trenčiansky kraj;okres Prievidza
Bojničky;2023-06-29;37;D;SK;2023;48,39214;17,7968409;Slovensko;Trnavský kraj;okres Hlohovec
Boľ;;43;D;SK;1899;48,474004;21,9421363;Slovensko;Košický kraj;okres Trebišov
Bolatice;;14;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bolehošť;;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Boleradice;;36;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Boleráz;1997-06-03;37;C;SK;1997;48,4655654;17,4933242;Slovensko;Trnavský kraj;okres Trnava
Bolešiny;;17;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bolešov;1998-09-13;38;A;SK;1998;48,9854933;18,1565106;Slovensko;Trenčiansky kraj;okres Ilava
Boletice nad Labem;;2;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Boľkovce;;50;B;SK;1899;48,3371064;19,7699834;Slovensko;Banskobystrický kraj;okres Lučenec
Bonětice;;16;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bor;1994-01-01;16;A;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Borčany;2018-07-01;38;C;SK;2018;48,6563788;18,2193755;Slovensko;Trenčiansky kraj;okres Bánovce nad Bebravou
Borinka;1994-01-01;46;B;SK;1994;48,2626241;17,0860379;Slovensko;Bratislavský kraj;okres Malacky
Bôrka;2019-08-16;42;C;SK;2019;48,6310107;20,7635859;Slovensko;Košický kraj;okres Rožňava
Borkovany;;36;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Borohrádek;;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
